Timestamp,Date,Distance,k,Ax,Ay,Az,Xx,Xy,Xz,TRx,TRy,TRz,BRx,BRy,BRz,Bx,By,Bz,Cx,Cy,Cz,Ux,Uy,Uz,Vx,Vy,Vz,Wx,Wy,Wz,L_Roll,L_Tilt,R_Roll,R_Tilt
1775395528.749,2026-04-05 18:55:28,19.577,0.622,-306.856,-282.048,1548.86,-295.582,-282.872,1532.876,-306.981,-308.013,1551.267,-306.731,-256.082,1546.453,-295.79,-315.152,1535.329,-295.456,-263.29,1531.388,11.066,-33.104,-13.531,0.887,0.178,0.426,0.335,51.862,-3.941,29.581,147.473,89.628,146.744
1775395529.25,2026-04-05 18:55:29,831.791,8.03,-57.099,77.873,388.565,-228.917,196.607,1193.709,-57.273,50.98,389.078,-56.925,104.765,388.052,-232.908,-224.532,1254.84,-232.411,-172.084,1247.227,-175.81,-302.404,866.275,0.999,-0.006,0.036,0.497,52.447,-7.613,-0.334,177.524,89.459,156.048
1775395529.751,2026-04-05 18:55:29,825.304,8.273,-57.048,77.797,389.305,-228.207,209.099,1185.916,-57.23,50.901,389.766,-56.867,104.692,388.843,-233.02,-224.422,1256.094,-232.438,-172.02,1247.612,-175.972,-302.218,866.79,0.999,-0.006,0.054,0.582,52.401,-8.483,-0.333,176.741,89.368,155.274
1775398759.303,2026-04-05 19:49:19,2526.112,-0.336,-810.687,-1007.461,3871.927,930.937,-237.264,2212.172,-810.878,-1031.752,3883.481,-810.496,-983.17,3860.373,922.304,-233.383,2196.765,896.619,-221.837,2150.924,1732.991,774.078,-1675.162,0.061,0.428,0.902,-25.685,11.546,-45.841,89.55,92.97,-176.729,102.243
1775398766.409,2026-04-05 19:49:26,2768.752,47.044,-70.61,60.688,345.661,-796.183,1230.739,2747.85,-71.45,33.807,346.221,-69.77,87.569,345.1,-814.146,-1054.798,3834.977,-813.764,-1006.215,3811.868,-743.536,-1115.486,3489.316,0.999,-0.031,0.014,0.382,48.583,-23.109,-1.773,178.551,89.55,92.97
1775398766.913,2026-04-05 19:49:26,20.709,0.53,-70.568,60.741,345.672,-49.885,60.129,346.513,-71.363,33.857,346.107,-69.773,87.626,345.237,-49.625,31.631,346.191,-50.115,85.425,346.799,20.943,-29.11,0.519,0.999,-0.029,0.016,-0.49,53.794,0.608,-1.679,178.677,0.52,179.33
1775398767.417,2026-04-05 19:49:27,20.709,0.527,-70.626,60.776,345.981,-49.995,60.161,347.658,-71.441,33.892,346.429,-69.811,87.66,345.532,-49.799,31.831,347.758,-50.17,85.629,347.568,20.827,-28.945,1.777,0.999,-0.03,0.02,-0.371,53.798,-0.19,-1.718,178.505,0.394,179.671
1775398767.95,2026-04-05 19:49:27,20.639,0.526,-70.518,60.692,345.398,-49.962,60.058,347.128,-71.35,33.808,345.841,-69.686,87.575,344.954,-49.768,31.775,347.081,-50.136,85.574,347.17,20.75,-28.917,1.683,0.999,-0.031,0.016,-0.369,53.799,0.089,-1.757,178.673,0.393,179.756
1775398768.483,2026-04-05 19:49:28,20.622,0.526,-70.499,60.708,345.415,-49.966,60.09,347.234,-71.317,33.823,345.823,-69.681,87.592,345.006,-49.768,31.783,347.282,-50.145,85.582,347.191,20.731,-28.925,1.867,0.999,-0.03,0.018,-0.376,53.798,-0.091,-1.726,178.64,0.4,179.735
1775398768.987,2026-04-05 19:49:28,20.617,0.527,-70.507,60.729,345.506,-49.96,60.114,347.079,-71.317,33.844,345.897,-69.697,87.614,345.115,-49.755,31.764,347.074,-50.144,85.563,347.083,20.753,-28.964,1.568,0.999,-0.03,0.019,-0.389,53.798,0.01,-1.71,178.606,0.415,179.777
